trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_BNF_product_description,score,to_remove_dups,DM+D: Product Description,BNF Code,SNOMED Code,AB_PRESUMED.DIAGNOSIS
categorical,20003,both_sexes,1140866738,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,atenolol,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866738.tsv.bgz.tbi,18567,7989,10578,"AFR,CSA,EAS,EUR,MID",5,227,,341,58,16428,59,6397,,8508,2649,404045,1536,0.037,,0.0417,0.10217,0.061775,0.14033,0.99514,,0.98694,1.0056,1.0744,1.002,categorical-20003-both_sexes-1140866738.tsv.bgz,categorical-20003-both_sexes-1140866738.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866738.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866738.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866738.tsv.bgz.tbi,2149084231,2195553,af85748db606fbaf1d2d91ffb623dfd3,5a82319258927ea637147c5ca3f5da76,CA_PR_atenolol_h0.06177_n18567,,0,CA_PR_atenolol_h0.06177,1.05,PASS,"CSA,EUR",0.0158,,Carbenoxolone 2% gel,50,1,Carbenoxolone 2% gel,,3.52E+16,
prescriptions,atenolol,both_sexes,,,,,atenolol,"selective beta1 antagonist,beta blocker",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-atenolol-both_sexes.tsv.bgz.tbi,19326,8421,9100,"AFR,CSA,EUR,MID",4,180,,469,,16477,53,6456,,8407,,404054,1546,0,,0.0214,,0.072783,0.0934,1.0072,,0.99745,,1.1176,1.0559,prescriptions-atenolol-both_sexes.tsv.bgz,prescriptions-atenolol-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-atenolol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-atenolol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-atenolol-both_sexes.tsv.bgz.tbi,1936499947,2137990,8e135b32dc1ca0e7b73e60ab438ba08e,92d1ef4fe1587a19c2c3ec164c9dc860,PR_atenolol_h0.07278_n19326,,0,PR_atenolol_h0.07278,1.09,fail_ratio,,0.0129,,Carbenoxolone 2% gel,50,0,Carbenoxolone 2% gel,,3.52E+16,
prescriptions,carbocisteine,both_sexes,,,,,carbocisteine,muculytic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-carbocisteine-both_sexes.tsv.bgz.tbi,3014,1399,1346,"CSA,EUR",2,,,67,,2597,,,,8809,,417934,,,,0.12575,,0.21162,,,,1.0145,,1.0453,,prescriptions-carbocisteine-both_sexes.tsv.bgz,prescriptions-carbocisteine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-carbocisteine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-carbocisteine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-carbocisteine-both_sexes.tsv.bgz.tbi,1099016450,1929969,7ecbf0c95d66af8ed3c47a926a2746eb,678a50d3f2b5ca26b4e325f4eab9e9dd,PR_carbocisteine_h0.21162_n3014,,0,PR_carbocisteine_h0.21162,1.02,h2_z_insignificant,,0.0058,,Carbocisteine 375mg capsules,59,0,Carbocisteine 375mg capsules,0307000J0AAAAAA,9.76E+15,
prescriptions,opioid,both_sexes,,,,,opioid,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-opioid-both_sexes.tsv.bgz.tbi,5070,2452,2178,"CSA,EUR",2,,,52,,4453,,,,8824,,416078,,,,0.12329,,0.091049,,,,1.0197,,1.0495,,prescriptions-opioid-both_sexes.tsv.bgz,prescriptions-opioid-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-opioid-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-opioid-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-opioid-both_sexes.tsv.bgz.tbi,1115421584,1933885,4363014d9bf56ab8e598b3fab993b9ea,d5d19fbfb004fd31ce709a5a3c725db4,PR_opioid_h0.09105_n5070,F11.1,0,PR_opioid_h0.09105,1.04,,,,,Carbon dioxide,50,0,Carbon dioxide,,1.46E+16,
prescriptions,5-alpha reductase inhibitor|BPH|benign prostatic hyperplasia,both_sexes,,,,,5-alpha reductase inhibitor|BPH|benign prostatic hyperplasia,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,4643,18,4177,"CSA,EUR",2,,,114,,3949,,,,8762,,416582,,,,0,,0.057084,,,,1.009,,1.0719,,prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,1122183876,1933975,9a1e5ce4594b7ce040977aa42a1aa845,ee7727601807fdcde15a2032e09942c4,PR_5-alpha_reductase_inhibitor_BPH_benign_prostatic_hyperplasia_h0.05708_n4643,,0,PR_5-alpha_reductase_inhibitor_BPH_benign_prostatic_hyperplasia_h0.05708,1.05,h2_z_insignificant,,0.0078,,Catheter retaining straps,42,0,Catheter retaining straps,,7.25E+15,
prescriptions,antipyretic,both_sexes,,,,,antipyretic,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-antipyretic-both_sexes.tsv.bgz.tbi,48511,25157,18582,"AFR,AMR,CSA,EAS,EUR,MID",6,572,72,1668,156,40391,183,6064,908,7208,2553,380140,1416,0.0667,0.0679,0.0395,0.0445,0.066277,0.094,0.97851,1.0125,0.98659,1.0229,1.1635,0.92983,prescriptions-antipyretic-both_sexes.tsv.bgz,prescriptions-antipyretic-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-antipyretic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-antipyretic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-antipyretic-both_sexes.tsv.bgz.tbi,2409829669,2254259,4fcf45c3d15208ac2da98e1e2ed7bd05,b356408809e53da68259bd1e2239394a,PR_antipyretic_h0.06628_n48511,T39,0,PR_antipyretic_h0.06628,1.14,PASS,"CSA,EUR",0.0227,,Cavity dressing 3cm,47,0,Cavity dressing 3cm,20030800130,1.56E+16,
prescriptions,cefalexin,both_sexes,,,,,cefalexin,"beta-lactam antibiotic,first generation cephalasporin,antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cefalexin-both_sexes.tsv.bgz.tbi,21522,13390,6018,"AFR,CSA,EAS,EUR,MID",5,187,,571,72,18166,75,6449,,8305,2637,402365,1524,0.0979,,0.0102,0.10773,0.061552,0.0752,0.97491,,0.99226,1.0376,1.0795,1.0593,prescriptions-cefalexin-both_sexes.tsv.bgz,prescriptions-cefalexin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cefalexin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cefalexin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cefalexin-both_sexes.tsv.bgz.tbi,2151137341,2195032,459006a118c4c56b079f63a77095ce10,5f4df897a859fc13262b61fd6bef3ad0,PR_cefalexin_h0.06155_n21522,,0,PR_cefalexin_h0.06155,1.07,h2_z_insignificant,,0.0057,,Cefalexin 250mg tablets,50,0,Cefalexin 250mg tablets,0501021L0AAAGAG,1.05E+15,
prescriptions,thyroid hormone,both_sexes,,,,,thyroid hormone,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-thyroid_hormone-both_sexes.tsv.bgz.tbi,16527,12035,2732,"AFR,CSA,EUR",3,86,,454,,13915,,6550,,8422,,406616,,0,,0.0245,,0.10522,,1.0137,,1.0287,,1.0949,,prescriptions-thyroid_hormone-both_sexes.tsv.bgz,prescriptions-thyroid_hormone-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-thyroid_hormone-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-thyroid_hormone-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-thyroid_hormone-both_sexes.tsv.bgz.tbi,1654960583,2059423,a90f5a8c1a9021d17d7c0d4c175513b7,98ea9fbbf3d0d127f3b3ba701b310728,PR_thyroid_hormone_h0.10522_n16527,T38.1X5A,0,PR_thyroid_hormone_h0.10522,1.06,,,,,Cetylpyridinium chloride 1.4mg lozenges,48,0,Cetylpyridinium chloride 1.4mg lozenges,1203030D0AAAAAA,3.72E+15,
prescriptions,chlorphenamine,both_sexes,,,,,chlorphenamine,"histamine H1 antagonist,antihistamine",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-chlorphenamine-both_sexes.tsv.bgz.tbi,8606,5096,2654,"AFR,CSA,EUR",3,114,,427,,6976,,6522,,8449,,413555,,0,,0.0477,,0.075655,,0.9985,,1.009,,1.064,,prescriptions-chlorphenamine-both_sexes.tsv.bgz,prescriptions-chlorphenamine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-chlorphenamine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-chlorphenamine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-chlorphenamine-both_sexes.tsv.bgz.tbi,1648560814,2058651,1623bad3d905d1fb02ec87451e2988f9,9e6218bc3fa10b43ba7e166a9986eebb,PR_chlorphenamine_h0.07566_n8606,,0,PR_chlorphenamine_h0.07566,1.07,h2_z_insignificant,,0.0032,,Chlorphenamine 4mg tablets,65,0,Chlorphenamine 4mg tablets,0304010G0AAACAC,2.10E+16,
prescriptions,tetracycline antibiotic|antibiotic,both_sexes,,,,,tetracycline antibiotic|antibiotic,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz.tbi,47781,25268,18191,"AFR,AMR,CSA,EAS,EUR,MID",6,412,64,877,129,41177,133,6224,916,7999,2580,379354,1466,0.0129,0.0375,0.0242,0.076,0.056371,0.0622,1.0072,1.015,0.95657,1.0056,1.1174,0.98111,prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz,prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-tetracycline_antibiotic|antibiotic-both_sexes.tsv.bgz.tbi,2398822967,2252988,c42ab62415f44a8027d0a451f0878d55,ef1eb05f61ec0b3db83365f699bae931,PR_tetracycline_antibiotic_antibiotic_h0.05637_n47781,T36.4X1A,0,PR_tetracycline_antibiotic_antibiotic_h0.05637,1.12,,,,,Chlortetracycline 1% eye ointment,51,1,Chlortetracycline 1% eye ointment,,1.04E+16,
prescriptions,cholesterol absorption inhibitor|anti-cholesterol agent,both_sexes,,,,,cholesterol absorption inhibitor|anti-cholesterol agent,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz.tbi,3752,1650,1726,"CSA,EUR",2,,,138,,3116,,,,8738,,417415,,,,0.0107,,0.088155,,,,1.0068,,1.0607,,prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz,prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cholesterol_absorption_inhibitor|anti-cholesterol_agent-both_sexes.tsv.bgz.tbi,1117202437,1932620,1f59b5138def251c9cc24a67ed80b233,01472bbe71fd7443ff72c44ebd400df3,PR_cholesterol_absorption_inhibitor_anticholesterol_agent_h0.08815_n3752,Z88.3,0,PR_cholesterol_absorption_inhibitor_anticholesterol_agent_h0.08815,1.04,h2_z_insignificant,,0.0045,,Cholesterol 1g oral powder sachets,47,0,Cholesterol 1g oral powder sachets,0908010D0AAALAL,3.11E+16,
prescriptions,cimetidine,both_sexes,,,,,cimetidine,"histamine H2 antagonist,antihistamine",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cimetidine-both_sexes.tsv.bgz.tbi,5348,2770,2079,"CSA,EUR",2,,,99,,4606,,,,8777,,415925,,,,0.10255,,0.054562,,,,1.0035,,1.0669,,prescriptions-cimetidine-both_sexes.tsv.bgz,prescriptions-cimetidine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cimetidine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cimetidine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cimetidine-both_sexes.tsv.bgz.tbi,1126909729,1935284,fb13a476a4474c2bed79a8070c9c4c1e,a1ec2288bd9e17161f6175f0e2e93f0a,PR_cimetidine_h0.05456_n5348,,0,PR_cimetidine_h0.05456,1.03,h2_z_insignificant,,0.0029,,Cimetidine 200mg tablets,53,0,Cimetidine 200mg tablets,0103010D0AAAAAA,3.91E+16,
prescriptions,cinnarizine,both_sexes,,,,,cinnarizine,"antihistamine,calcium channel blocker",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cinnarizine-both_sexes.tsv.bgz.tbi,5226,3360,1381,"CSA,EUR",2,,,143,,4431,,,,8733,,416100,,,,0.0931,,0.08225,,,,1.0231,,1.0647,,prescriptions-cinnarizine-both_sexes.tsv.bgz,prescriptions-cinnarizine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cinnarizine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-cinnarizine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-cinnarizine-both_sexes.tsv.bgz.tbi,1130935132,1935171,325c8f033cfdf1dc927438052bb30c64,cc38e92f0638e7b666c3f782556e9127,PR_cinnarizine_h0.08225_n5226,,0,PR_cinnarizine_h0.08225,1.04,h2_z_insignificant,,0.0048,,Cinnarizine 15mg tablets,57,1,Cinnarizine 15mg tablets,0406000D0AAAAAA,1.03E+15,
prescriptions,clarithromycin,both_sexes,,,,,clarithromycin,"macrolide antibiotic,antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clarithromycin-both_sexes.tsv.bgz.tbi,28678,15102,10506,"AFR,AMR,CSA,EAS,EUR,MID",6,261,57,856,105,23797,119,6375,923,8020,2604,396734,1480,0.11401,0.0686,0.0322,0.0208,0.053038,0.0346,0.97461,1.0288,0.98563,1.0355,1.0763,0.99231,prescriptions-clarithromycin-both_sexes.tsv.bgz,prescriptions-clarithromycin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clarithromycin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clarithromycin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clarithromycin-both_sexes.tsv.bgz.tbi,2376704658,2250171,4e8244495d4dd59ec0fb8f5a58c2427c,e6bfd1dc11b79c0ee660793d9cfacdd9,PR_clarithromycin_h0.05304_n28678,,0,PR_clarithromycin_h0.05304,1.05,PASS,"CSA,EUR",0.0097,,Clarithromycin 500mg tablets,62,0,Clarithromycin 500mg tablets,0501050B0AAADAD,8.92E+15,
prescriptions,mast cell stabilizer,both_sexes,,,,,mast cell stabilizer,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz.tbi,9454,5639,2816,"AFR,CSA,EAS,EUR,MID",5,209,,626,127,7265,58,6427,,8250,2582,413266,1541,0,,0.0672,0.0958,0.068773,0.10414,0.99157,,0.97089,0.99185,1.0565,1.0278,prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz,prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-mast_cell_stabilizer-both_sexes.tsv.bgz.tbi,2139430446,2193410,690af0dedab3ca24126c62f9812e7d75,84c6f4b45ab33af9af53e388d95f475c,PR_mast_cell_stabilizer_h0.06877_n9454,C94.31,0,PR_mast_cell_stabilizer_h0.06877,1.04,,,,,Clemastine 1mg tablets,52,0,Clemastine 1mg tablets,0304010H0AAABAB,3.65E+15,
prescriptions,clobetasol,both_sexes,,,,,clobetasol,corticosteroid,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasol-both_sexes.tsv.bgz.tbi,8135,4562,2781,"AFR,CSA,EUR",3,74,,355,,6716,,6562,,8521,,413815,,0.0573,,0.0776,,0.053192,,0.98888,,1.0121,,1.0303,,prescriptions-clobetasol-both_sexes.tsv.bgz,prescriptions-clobetasol-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasol-both_sexes.tsv.bgz.tbi,1628292451,2054700,35bfdb0efdd515d7b944ff5d67218d2d,dbe94cd41716549761be5279d83c16fd,PR_clobetasol_h0.05319_n8135,,0,PR_clobetasol_h0.05319,1.06,h2_z_insignificant,,0.007,,Clobetasol 0.05% cream,56,0,Clobetasol 0.05% cream,1304000G0AAAAAA,1.23E+15,
prescriptions,clobetasone butyrate,both_sexes,,,,,clobetasone butyrate,corticosteroid,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz.tbi,5365,3011,1921,"AFR,EUR",2,57,,,,4630,,6579,,,,415901,,0.0674,,,,0.055283,,1.0489,,,,1.0547,,prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz,prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasone_butyrate-both_sexes.tsv.bgz.tbi,1275841273,1965504,9bb8cd5f263b48b7677e3bfd2026241b,90afd1c659e88015a310bd69653c54dd,PR_clobetasone_butyrate_h0.05528_n5365,,0,PR_clobetasone_butyrate_h0.05528,1.05,h2_z_insignificant,,0.0024,,Clobetasone 0.05% cream,60,0,Clobetasone 0.05% cream,1304000H0AAAAAA,1.10E+15,
prescriptions,clobetasone/nystatin/oxytetracycline,both_sexes,,,,,clobetasone/nystatin/oxytetracycline,"corticosteroid,anti-fungal,tetracycline antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz.tbi,10140,4841,4298,"AFR,CSA,EUR",3,56,,292,,8575,,6580,,8584,,411956,,0.34963,,0.0728,,0.051278,,0.96414,,1.0141,,1.0198,,prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz,prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clobetasone_nystatin_oxytetracycline-both_sexes.tsv.bgz.tbi,1618235961,2053179,a20f830f042425a72f2f42d0fe9b1e1b,e154641ee9579d4a0562d147769b2cae,PR_clobetasone_nystatin_oxytetracycline_h0.05128_n10140,,0,PR_clobetasone_nystatin_oxytetracycline_h0.05128,1.05,h2_z_insignificant,,0.0058,,Clobetasone 0.05% ointment,48,0,Clobetasone 0.05% ointment,1304000H0AABABA,1.04E+15,
categorical,20003,both_sexes,1141168318,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,clopidogrel,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141168318.tsv.bgz.tbi,3117,912,2205,"CSA,EUR",2,,,116,,2717,,,,8733,,417756,,,,0.0799,,0.057646,,,,0.99403,,1.0447,,categorical-20003-both_sexes-1141168318.tsv.bgz,categorical-20003-both_sexes-1141168318.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141168318.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141168318.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141168318.tsv.bgz.tbi,1109618523,1930753,b4358b5fa629730ae59a6d9ded30aa53,b492c931fddbc4afcec1b620f661d6e6,CA_PR_clopidogrel_h0.05765_n3117,,0,CA_PR_clopidogrel_h0.05765,1.04,h2_z_insignificant,,0.0018,,Clopidogrel 75mg tablets,57,1,Clopidogrel 75mg tablets,0209000C0AAAAAA,4.03E+16,
prescriptions,clopidogrel,both_sexes,,,,,clopidogrel,"P2Y12 anti-platelet agent,anti-platelet",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clopidogrel-both_sexes.tsv.bgz.tbi,10132,3166,5970,"AFR,CSA,EUR",3,61,,339,,8535,,6575,,8537,,411996,,0.10725,,0.0295,,0.05292,,1.0204,,1.0206,,1.0403,,prescriptions-clopidogrel-both_sexes.tsv.bgz,prescriptions-clopidogrel-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clopidogrel-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-clopidogrel-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-clopidogrel-both_sexes.tsv.bgz.tbi,1624723970,2054396,f9a7675fdb185c31c2b2e68934d68940,28fe6d9fc8dc572fc52672b496f78b3a,PR_clopidogrel_h0.05292_n10132,,0,PR_clopidogrel_h0.05292,1.02,h2_z_insignificant,,0.0044,,Clopidogrel 75mg tablets,57,0,Clopidogrel 75mg tablets,0209000C0AAAAAA,4.03E+16,
