trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups,similar_phenocode,score
icd10,H50,both_sexes,,,H50 Other strabismus,truncated: true,H50 Other strabismus,"Chapter VII Diseases of the eye and adnexa | H49-H52 Disorders of ocular muscles, binocular movement, accommodation and refraction | H50 Other strabismus",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H50-both_sexes.tsv.bgz.tbi,1205,636,467,EUR,1,,,,,1060,,,,,,419471,,,,,,0.13268,,,,,,1.0316,,icd10-H50-both_sexes.tsv.bgz,icd10-H50-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H50-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H50-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H50-both_sexes.tsv.bgz.tbi,537746347,1751621,2d6a2a8aa2c9428c840d08a5ac45d236,4db28cfb17a68fed339b957efb50b3d7,IC_Other_strabismus_h0.13268_n1205,H50,0,IC_Other_strabismus_h0.13268,1.02,h2_z_insignificant,,0.0006,H50,0,E03 Other hypothyroidism,59
phecode,378.1,both_sexes,,,Strabismus (not specified as paralytic),,Strabismus (not specified as paralytic),sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-378.1-both_sexes.tsv.bgz.tbi,1210,640,467,EUR,1,,,,,1063,,,,,,410363,,,,,,0.12019,,,,,,1.0213,,phecode-378.1-both_sexes.tsv.bgz,phecode-378.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-378.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-378.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-378.1-both_sexes.tsv.bgz.tbi,537876049,1751766,b40f36200d2d5dee67a9d2de5233236b,1dd617c09e55fe3958aca9ddc6da6ee1,PH_Strabismus_(not_specified_as_paralytic)_h0.12019_n1210,H49.9,0,PH_Strabismus_not_specified_as_paralytic_h0.12019,1.02,h2_z_insignificant,,-6.55E-05,H50-H50.9,0,Urethral stricture (not specified as infectious),60
phecode,367.1,both_sexes,,,Myopia,,Myopia,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-367.1-both_sexes.tsv.bgz.tbi,2004,1018,827,EUR,1,,,,,1758,,,,,,416775,,,,,,0.094519,,,,,,1.0669,,phecode-367.1-both_sexes.tsv.bgz,phecode-367.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-367.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-367.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-367.1-both_sexes.tsv.bgz.tbi,541773202,1752144,5ba82c8a00920e89801e6f44064a7c23,3c423f36f40ffeb39bf4a183411040e2,PH_Myopia_h0.09452_n2004,H52.10,0,PH_Myopia_h0.09452_I20,1.08,h2_z_insignificant,,0.0064,H52.1,0,Myopathy,71
phecode,368.3,both_sexes,,,Anisometropia,,Anisometropia,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.3-both_sexes.tsv.bgz.tbi,243,124,102,EUR,1,,,,,210,,,,,,416168,,,,,,0.1613,,,,,,0.97128,,phecode-368.3-both_sexes.tsv.bgz,phecode-368.3-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.3-both_sexes.tsv.bgz.tbi,517977475,1750779,a3faf0fe82fd2a6e26d13bc10395a832,f99d3372180708908b0718d3500c44c2,PH_Anisometropia_h0.16130_n243,H52.31,0,PH_Anisometropia_h0.16130,0.968,h2_z_insignificant,,0.0029,H52.3,0,Amblyopia,55
phecode,368.1,both_sexes,,,Amblyopia,,Amblyopia,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.1-both_sexes.tsv.bgz.tbi,862,447,355,EUR,1,,,,,774,,,,,,416168,,,,,,0.21164,,,,,,1.0099,,phecode-368.1-both_sexes.tsv.bgz,phecode-368.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.1-both_sexes.tsv.bgz.tbi,534486743,1751627,5c5eaecabbe92527c07e52bb55cc682f,29ec5ce030c0f04c9c42d4c67bf6e72c,PH_Amblyopia_h0.21164_n862,H53.009,0,PH_Amblyopia_h0.21164,1.04,h2_z_insignificant,,0.0015,H53,0,Alopecia,71
phecode,368.9,both_sexes,,,Subjective visual disturbances,,Subjective visual disturbances,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.9-both_sexes.tsv.bgz.tbi,964,512,369,EUR,1,,,,,833,,,,,,416168,,,,,,0.13487,,,,,,1.0153,,phecode-368.9-both_sexes.tsv.bgz,phecode-368.9-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.9-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-368.9-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-368.9-both_sexes.tsv.bgz.tbi,535636311,1751713,e3bc82e59a388934f9510c71daf4ed93,9abffdfe41b7b9811d38efe49ff4ef78,PH_Subjective_visual_disturbances_h0.13487_n964,H53.1,0,PH_Subjective_visual_disturbances_h0.13487,0.978,h2_z_insignificant,,-6.78E-05,H53.1,0,Substance addiction and disorders,51
icd10,H57,both_sexes,,,H57 Other disorders of eye and adnexa,truncated: true,H57 Other disorders of eye and adnexa,Chapter VII Diseases of the eye and adnexa | H55-H59 Other disorders of eye and adnexa | H57 Other disorders of eye and adnexa,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H57-both_sexes.tsv.bgz.tbi,702,383,272,EUR,1,,,,,611,,,,,,419920,,,,,,0.23389,,,,,,1.0197,,icd10-H57-both_sexes.tsv.bgz,icd10-H57-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H57-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H57-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H57-both_sexes.tsv.bgz.tbi,532769387,1751452,6a1c584224cf27077ba9f42cd0ef310a,90a2c3359b8fcadd43380ed1049f86da,IC_Other_disorders_of_eye_and_adnexa_h0.23389_n702,H57,0,IC_Other_disorders_of_eye_and_adnexa_h0.23389,1.02,h2_z_insignificant,,9.25E-05,H57,0,H27 Other disorders of lens,75
icd10,H58,both_sexes,,,H58 Other disorders of eye and adnexa in diseases classified elsewhere,truncated: true,H58 Other disorders of eye and adnexa in diseases classified elsewhere,Chapter VII Diseases of the eye and adnexa | H55-H59 Other disorders of eye and adnexa | H58 Other disorders of eye and adnexa in diseases classified elsewhere,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H58-both_sexes.tsv.bgz.tbi,133,55,74,EUR,1,,,,,123,,,,,,420408,,,,,,0.22622,,,,,,0.9958,,icd10-H58-both_sexes.tsv.bgz,icd10-H58-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H58-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H58-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H58-both_sexes.tsv.bgz.tbi,509975009,1750170,8a7c7b234c38620fd91c8e994a3d451f,58cbae129dc11962e6983f48595769cd,IC_Other_disorders_of_eye_and_adnexa_in_diseases_classified_elsewhere_h0.22622_n133,H58,0,IC_Other_disorders_of_eye_and_adnexa_in_diseases_classified_elsewhere_h0.22622,0.991,h2_z_insignificant,,0.0008,H58,0,G99 Other disorders of nervous system in diseases classified elsewhere,79
phecode,385.3,both_sexes,,,Cholesteatoma,,Cholesteatoma,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-385.3-both_sexes.tsv.bgz.tbi,728,303,379,EUR,1,,,,,647,,,,,,416007,,,,,,0.066779,,,,,,1.0153,,phecode-385.3-both_sexes.tsv.bgz,phecode-385.3-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-385.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-385.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-385.3-both_sexes.tsv.bgz.tbi,532365187,1751848,57699d90a409b2c736455e4c1f01ea1b,94803e7761338d74078596b1d03f08ea,PH_Cholesteatoma_h0.06678_n728,H71.10,0,PH_Cholesteatoma_h0.06678_I50_K74,0.999,h2_z_insignificant,,0.0007,H60,0,high cholesterol,55
phecode,686.1,both_sexes,,,Carbuncle and furuncle,,Carbuncle and furuncle,dermatologic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-686.1-both_sexes.tsv.bgz.tbi,3252,1346,1627,"AFR,CSA,EUR",3,90,,118,,2705,,6434,,8569,,406937,,0.0713,,0,,0.054992,,1.023,,1.0251,,1.039,,phecode-686.1-both_sexes.tsv.bgz,phecode-686.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-686.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-686.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-686.1-both_sexes.tsv.bgz.tbi,1596110601,2050503,cfc4d1ae8f9c353a5a7b1a4684085286,f9cef032e0f256139d4e834c4f68ea5f,PH_Carbuncle_and_furuncle_h0.05499_n3252,L02.4,0,PH_Carbuncle_and_furuncle_h0.05499,1.03,h2_z_insignificant,,0.0015,H60.0-L02.0-L02.1-L02.2-L02.3-L02.4-L02.8-L02.9,0,"L02 Cutaneous abscess, furuncle and carbuncle",57
icd10,H65,both_sexes,,,H65 Nonsuppurative otitis media,truncated: true,H65 Nonsuppurative otitis media,Chapter VIII Diseases of the ear and mastoid process | H65-H75 Diseases of middle ear and mastoid | H65 Nonsuppurative otitis media,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H65-both_sexes.tsv.bgz.tbi,1346,626,642,EUR,1,,,,,1191,,,,,,419340,,,,,,0.12763,,,,,,1.011,,icd10-H65-both_sexes.tsv.bgz,icd10-H65-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H65-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H65-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H65-both_sexes.tsv.bgz.tbi,538987549,1751982,af6ece3e1112f0d35cdb90f93d4f4b07,289e1c9343ba06cd04fb42a14ca9a2ee,IC_Nonsuppurative_otitis_media_h0.12763_n1346,H65,0,IC_Nonsuppurative_otitis_media_h0.12763,1.01,h2_z_insignificant,,0.0035,H65,0,H66 Suppurative and unspecified otitis media,69
phecode,381.11,both_sexes,,,Suppurative and unspecified otitis media,,Suppurative and unspecified otitis media,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-381.11-both_sexes.tsv.bgz.tbi,1073,514,478,EUR,1,,,,,940,,,,,,416007,,,,,,0.091066,,,,,,1.0095,,phecode-381.11-both_sexes.tsv.bgz,phecode-381.11-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-381.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-381.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-381.11-both_sexes.tsv.bgz.tbi,536652246,1751434,718a9f61ee3105c14e56bd32f107336b,b3381ad22deb49d6fa579ea23bec588c,PH_Suppurative_and_unspecified_otitis_media_h0.09107_n1073,H66.41,0,PH_Suppurative_and_unspecified_otitis_media_h0.09107,1,h2_z_insignificant,,0.0033,H66,1,H66 Suppurative and unspecified otitis media,95
icd10,H66,both_sexes,,,H66 Suppurative and unspecified otitis media,truncated: true,H66 Suppurative and unspecified otitis media,Chapter VIII Diseases of the ear and mastoid process | H65-H75 Diseases of middle ear and mastoid | H66 Suppurative and unspecified otitis media,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H66-both_sexes.tsv.bgz.tbi,1004,483,449,EUR,1,,,,,881,,,,,,419650,,,,,,0.12996,,,,,,1.0237,,icd10-H66-both_sexes.tsv.bgz,icd10-H66-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H66-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H66-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H66-both_sexes.tsv.bgz.tbi,536155547,1751495,c7a5ed2f4df25d423889df65d0e1e703,59ce98d0b2761ad7433686e786d192a1,IC_Suppurative_and_unspecified_otitis_media_h0.12996_n1004,H66,0,IC_Suppurative_and_unspecified_otitis_media_h0.12996,1.01,h2_z_insignificant,,0.0034,H66,0,Suppurative and unspecified otitis media,95
phecode,384.4,both_sexes,,,Perforation of tympanic membrane,,Perforation of tympanic membrane,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-384.4-both_sexes.tsv.bgz.tbi,1339,662,584,EUR,1,,,,,1143,,,,,,416007,,,,,,0.14998,,,,,,1.0409,,phecode-384.4-both_sexes.tsv.bgz,phecode-384.4-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-384.4-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-384.4-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-384.4-both_sexes.tsv.bgz.tbi,538629375,1751599,239bdd8cc3341c18f3c330f53c9976ef,52c30930395088813662c5d055531624,PH_Perforation_of_tympanic_membrane_h0.14998_n1339,H72.00,0,PH_Perforation_of_tympanic_membrane_h0.14998,1.01,h2_z_insignificant,,0.0047,H72,1,H72 Perforation of tympanic membrane,94
icd10,H72,both_sexes,,,H72 Perforation of tympanic membrane,truncated: true,H72 Perforation of tympanic membrane,Chapter VIII Diseases of the ear and mastoid process | H65-H75 Diseases of middle ear and mastoid | H72 Perforation of tympanic membrane,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H72-both_sexes.tsv.bgz.tbi,1270,629,558,EUR,1,,,,,1086,,,,,,419445,,,,,,0.14721,,,,,,1.013,,icd10-H72-both_sexes.tsv.bgz,icd10-H72-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H72-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H72-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H72-both_sexes.tsv.bgz.tbi,538277555,1751918,3b16755a4342244fd57a2531438048db,42f5632b4932e51d1b4858a40d5b8ed9,IC_Perforation_of_tympanic_membrane_h0.14721_n1270,H72,0,IC_Perforation_of_tympanic_membrane_h0.14721,0.997,h2_z_insignificant,,0.0048,H72,0,Perforation of tympanic membrane,94
phecode,384,both_sexes,,,Other disorders of tympanic membrane,,Other disorders of tympanic membrane,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-384-both_sexes.tsv.bgz.tbi,1719,836,772,EUR,1,,,,,1484,,,,,,416007,,,,,,0.13502,,,,,,1.0403,,phecode-384-both_sexes.tsv.bgz,phecode-384-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-384-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-384-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-384-both_sexes.tsv.bgz.tbi,540612948,1751950,4b347fc89c62f55fece4d19a1a6edd5d,d164425dd7f2bd849f606bb912bd2d54,PH_Other_disorders_of_tympanic_membrane_h0.13502_n1719,H73.90,0,PH_Other_disorders_of_tympanic_membrane_h0.13502,1.03,h2_z_insignificant,,0.0048,H73,1,H73 Other disorders of tympanic membrane,95
icd10,H73,both_sexes,,,H73 Other disorders of tympanic membrane,truncated: true,H73 Other disorders of tympanic membrane,Chapter VIII Diseases of the ear and mastoid process | H65-H75 Diseases of middle ear and mastoid | H73 Other disorders of tympanic membrane,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H73-both_sexes.tsv.bgz.tbi,483,230,230,EUR,1,,,,,432,,,,,,420099,,,,,,0.14399,,,,,,1.0252,,icd10-H73-both_sexes.tsv.bgz,icd10-H73-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H73-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H73-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H73-both_sexes.tsv.bgz.tbi,528480728,1751457,fe5912334507bb9cd0df8a511badef1b,f34ae407c34eef4c00b32c917d2fedc9,IC_Other_disorders_of_tympanic_membrane_h0.14399_n483,H73,0,IC_Other_disorders_of_tympanic_membrane_h0.14399,1.02,h2_z_insignificant,,-0.0006,H73,0,Other disorders of tympanic membrane,95
phecode,385,both_sexes,,,Other disorders of middle ear and mastoid,,Other disorders of middle ear and mastoid,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-385-both_sexes.tsv.bgz.tbi,1089,485,522,EUR,1,,,,,956,,,,,,416007,,,,,,0.17838,,,,,,1.0454,,phecode-385-both_sexes.tsv.bgz,phecode-385-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-385-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-385-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-385-both_sexes.tsv.bgz.tbi,536629716,1752008,7521ece2f2d8278178bc230193bac62a,f3400fcc4ee04a400bd8abe7fd9a11aa,PH_Other_disorders_of_middle_ear_and_mastoid_h0.17838_n1089,H74.90,0,PH_Other_disorders_of_middle_ear_and_mastoid_h0.17838,1.02,h2_z_insignificant,,0.0033,H74,0,H57 Other disorders of eye and adnexa,72
categorical,20002,both_sexes,1421,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",meniere's disease,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1421.tsv.bgz.tbi,1343,832,511,EUR,1,,,,,1220,,,,,,419253,,,,,,0.074772,,,,,,0.99904,,categorical-20002-both_sexes-1421.tsv.bgz,categorical-20002-both_sexes-1421.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1421.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1421.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1421.tsv.bgz.tbi,539068882,1752049,a333653af352305f1ded3eba208db0bf,5a47416fe5c735e71dbae3dc4bd67fef,CA_Medical_conditions_h0.07477_n1343,H81.0,0,CA_menieres_disease_h0.07477,0.999,h2_z_insignificant,,0.0025,H81,1,Meniere's disease,94
phecode,386.1,both_sexes,,,Meniere's disease,,Meniere's disease,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-386.1-both_sexes.tsv.bgz.tbi,790,450,281,EUR,1,,,,,706,,,,,,412745,,,,,,0.056254,,,,,,1.0108,,phecode-386.1-both_sexes.tsv.bgz,phecode-386.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-386.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-386.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-386.1-both_sexes.tsv.bgz.tbi,533481686,1751781,269fef6433541ac4b42c33f7a81b0493,bef394528188af06b09c2f34170e3acf,PH_Meniere's_disease_h0.05625_n790,H81.0,0,PH_Menieres_disease_h0.05625,1.02,h2_z_insignificant,,-4.86E-05,H81,0,meniere's disease,94
icd10,H81,both_sexes,,,H81 Disorders of vestibular function,truncated: true,H81 Disorders of vestibular function,Chapter VIII Diseases of the ear and mastoid process | H80-H83 Diseases of inner ear | H81 Disorders of vestibular function,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H81-both_sexes.tsv.bgz.tbi,1493,825,556,EUR,1,,,,,1319,,,,,,419212,,,,,,0.083539,,,,,,1.0383,,icd10-H81-both_sexes.tsv.bgz,icd10-H81-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H81-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-H81-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-H81-both_sexes.tsv.bgz.tbi,539658671,1751649,21d67a180af0ef75acfc3021beed6a09,519171b931c17060940b3dd17079f02d,IC_Disorders_of_vestibular_function_h0.08354_n1493,H81,0,IC_Disorders_of_vestibular_function_h0.08354,1.01,h2_z_insignificant,,-0.0004,H81,0,Disorders of function of stomach,62
phecode,386,both_sexes,,,Vertiginous syndromes and other disorders of vestibular system,,Vertiginous syndromes and other disorders of vestibular system,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-386-both_sexes.tsv.bgz.tbi,2515,1342,994,EUR,1,,,,,2213,,,,,,412745,,,,,,0.066628,,,,,,1.0567,,phecode-386-both_sexes.tsv.bgz,phecode-386-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-386-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-386-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-386-both_sexes.tsv.bgz.tbi,543278131,1752162,5e9d8b48355724e746a3981066be0b86,9261f3cfd9c0577aa15bf3ce9ce9db93,PH_Vertiginous_syndromes_and_other_disorders_of_vestibular_system_h0.06663_n2515,H81.93,0,PH_Vertiginous_syndromes_and_other_disorders_of_vestibular_system_h0.06663,1.02,h2_z_insignificant,,0.0016,H81_H81.9_H83.9,0,Strabismus and other disorders of binocular eye movements,62
phecode,389.1,both_sexes,,,Sensorineural hearing loss,,Sensorineural hearing loss,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-389.1-both_sexes.tsv.bgz.tbi,728,329,347,EUR,1,,,,,628,,,,,,414345,,,,,,0.24418,,,,,,0.99323,,phecode-389.1-both_sexes.tsv.bgz,phecode-389.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-389.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-389.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-389.1-both_sexes.tsv.bgz.tbi,532845457,1751999,76221ae91f50b86db4c452042f60f471,6c7721b6d861a1c11ff558a29baa34ab,PH_Sensorineural_hearing_loss_h0.24418_n728,H90.3,0,PH_Sensorineural_hearing_loss_h0.24418_F31,1.01,h2_z_insignificant,,0.0007,H90,0,Spinal stenosis,54
