trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot
categorical,41229,both_sexes,5LG,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",WANDSWORTH PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1611,885,726,"AFR,CSA,EUR",3,102,,87,,1100,,6534,,8789,,419431,,0.14945,,0,,0.12145,,0.98165,,1.0435,,1.0085,,categorical-41229-both_sexes-5LG.tsv.bgz,categorical-41229-both_sexes-5LG.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LG.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LG.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LG.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LG.tsv.bgz.tbi,1571839384,2047220,b112d485d59f622dbc972ab9c6aaeba7,5c244c1e3a4043c5c8ec64e891f61703,CA__Summary_Administration_h0.12145_n1611,,1,CA_Administration_h0.12145
categorical,100920,both_sexes,2106,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",soya without calcium,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,947,610,337,EUR,1,,,,,757,,,,,,58133,,,,,,0.12161,,,,,,1.0134,,categorical-100920-both_sexes-2106.tsv.bgz,categorical-100920-both_sexes-2106.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2106.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2106.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2106.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2106.tsv.bgz.tbi,532084452,1751079,8ce0410ba6eb608dfb72565a4f4e8f14,543ff634a448afc5661b255cf5f793c4,CA__Milk/eggs/cheese_yesterday_h0.12161_n947,,1,CA_Milk_eggs_cheese_yesterday_h0.12161
categorical,41253,both_sexes,10,,Inpatient record format,"This field shows, for each participant, the formats of the data in which the original hospital inpatient records were supplied to UK Biobank.  This field corresponds to the field SOURCE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",UKB SMR 01A (HES),Health-related outcomes > Hospital inpatient > Summary Administration,20570,12307,8263,"CSA,EUR",2,,,120,,18059,,,,8756,,402472,,,,0.18979,,0.12332,,,,0.98782,,1.1195,,categorical-41253-both_sexes-10.tsv.bgz,categorical-41253-both_sexes-10.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-10.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-10.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-10.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-10.tsv.bgz.tbi,1167342828,1944635,f4277c8f43c77d8f359d08ab644efc5c,6d0548c66fc37ed34cfa325e0cb1d5c0,CA__Summary_Administration_h0.12332_n20570,,1,CA_Administration_h0.12332
categorical,41253,both_sexes,28,,Inpatient record format,"This field shows, for each participant, the formats of the data in which the original hospital inpatient records were supplied to UK Biobank.  This field corresponds to the field SOURCE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",SMR01B-V3,Health-related outcomes > Hospital inpatient > Summary Administration,27521,15118,12403,"CSA,EAS,EUR",3,,,176,100,23973,,,,8700,2609,396558,,,,0.17145,0.091375,0.12362,,,,0.99107,1.0395,1.1238,,categorical-41253-both_sexes-28.tsv.bgz,categorical-41253-both_sexes-28.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-28.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-28.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-28.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-28.tsv.bgz.tbi,1385617485,2014008,2204f1dd9798aebdeb465e05807e2815,b32f04e51d23fd5b8cf255180b66c643,CA__Summary_Administration_h0.12362_n27521,,1,CA_Administration_h0.12362
categorical,41229,both_sexes,5QF,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",BERKSHIRE WEST PCT,Health-related outcomes > Hospital inpatient > Summary Administration,7930,4458,3472,"AFR,CSA,EAS,EUR",4,102,,107,53,6953,,6534,,8769,2656,413578,,0,,0.12326,0.092511,0.12421,,1.0353,,1.0269,0.97078,1.066,,categorical-41229-both_sexes-5QF.tsv.bgz,categorical-41229-both_sexes-5QF.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QF.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QF.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QF.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QF.tsv.bgz.tbi,1829952032,2119287,ab8370cb867c3a4033ade47c38d7a8b5,12e918702ee442cd3d1cc9f32f1331bf,CA__Summary_Administration_h0.12421_n7930,,1,CA_Administration_h0.12421
categorical,41247,both_sexes,2002,,Patient classification on admission (recoded),"This field is a summary of the distinct patient classification codes a participant has had recorded in their hospital inpatient records. Patient classification on admission identifies the type of patient, e.g. whether they are a regular attender or a maternity admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field CLASSPAT_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Day case: In day bed unit,Health-related outcomes > Hospital inpatient > Summary Administration,18094,10088,8006,"CSA,EAS,EUR",3,,,129,56,15586,,,,8747,2653,404945,,,,0.15082,0.097331,0.12524,,,,1.0251,0.99869,1.1171,,categorical-41247-both_sexes-2002.tsv.bgz,categorical-41247-both_sexes-2002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41247-both_sexes-2002.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41247-both_sexes-2002.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41247-both_sexes-2002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41247-both_sexes-2002.tsv.bgz.tbi,1366037167,2009912,6556d4be85f9112093e523013cd7d071,780f601d109292ab99b6f68b6c49792c,CA__Summary_Administration_h0.12524_n18094,,1,CA_Administration_h0.12524
categorical,41249,both_sexes,1000,,Methods of admission to hospital (recoded),"This field is a summary of the distinct method of admission codes a participant has had recorded in their hospital inpatient records. Method of admission to hospital identifies how a patient was admitted, e.g. an elective admission from a waiting list or an emergency admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMIMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Elective admission,Health-related outcomes > Hospital inpatient > Summary Administration,18692,11356,7336,"CSA,EAS,EUR",3,,,106,50,16402,,,,8749,2657,403421,,,,0.26921,0.21015,0.12617,,,,0.97319,0.99528,1.1351,,categorical-41249-both_sexes-1000.tsv.bgz,categorical-41249-both_sexes-1000.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-1000.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-1000.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-1000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-1000.tsv.bgz.tbi,1364220538,2010389,7a7dd5c36c7f7bbce48e80ad74dc9389,95ec00d8f5c7673fd03e6a92b7c2bd9e,CA__Summary_Administration_h0.12617_n18692,,1,CA_Administration_h0.12617
categorical,41251,both_sexes,1001,,Sources of admission to hospital (recoded),"This field is a summary of the distinct source of admission codes a participant has had recorded in their hospital inpatient records. Source of admission identifies whether a patient came to the hospital from their usual place of residence or elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMISORC_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Usual Place of residence: Living with relatives,Health-related outcomes > Hospital inpatient > Summary Administration,12715,6878,5837,"CSA,EUR",2,,,96,,11087,,,,8743,,407429,,,,0.2974,,0.12801,,,,0.96912,,1.1136,,categorical-41251-both_sexes-1001.tsv.bgz,categorical-41251-both_sexes-1001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41251-both_sexes-1001.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41251-both_sexes-1001.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41251-both_sexes-1001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41251-both_sexes-1001.tsv.bgz.tbi,1148317713,1940728,a7cf59879cb34dfe7f644c314919967b,2bd5c794eb496165f2072207baf295d1,CA__Summary_Administration_h0.12801_n12715,,1,CA_Administration_h0.12801
categorical,41248,both_sexes,3001,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",High security psychiatric hospital: NHS,Health-related outcomes > Hospital inpatient > Summary Administration,398,178,220,EUR,1,,,,,328,,,,,,411737,,,,,,0.13085,,,,,,0.95786,,categorical-41248-both_sexes-3001.tsv.bgz,categorical-41248-both_sexes-3001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-3001.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-3001.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-3001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-3001.tsv.bgz.tbi,525179520,1751242,7afc1242ad0e58adb2dd04251e5b1e17,50ec2289e0ca405d3a1351b02860d83c,CA__Summary_Administration_h0.13085_n398,,1,CA_Administration_h0.13085
categorical,41229,both_sexes,5LE,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",SOUTHWARK PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1846,980,866,"AFR,EUR",2,341,,,,1096,,6295,,,,419435,,0.067279,,,,0.13245,,0.99039,,,,1.0092,,categorical-41229-both_sexes-5LE.tsv.bgz,categorical-41229-both_sexes-5LE.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LE.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LE.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LE.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LE.tsv.bgz.tbi,1306115278,1972261,62a9e534ddbb3ae35703741e250f7ada,30cb0629ca9cbe95ee81ac4d80fc9a6a,CA__Summary_Administration_h0.13245_n1846,,1,CA_Administration_h0.13245
categorical,41245,both_sexes,1011,,Main speciality of consultant (recoded),"This field is a summary of the distinct consultant speciality codes a participant has had recorded in their hospital inpatient records. The main speciality of the consultant is the specialism under which the consultant is contracted, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field MAINSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Acute Internal Medicine,Health-related outcomes > Hospital inpatient > Summary Administration,2028,962,1066,"AFR,EUR",2,54,,,,1741,,6539,,,,417011,,0.17968,,,,0.13397,,0.9934,,,,1.0226,,categorical-41245-both_sexes-1011.tsv.bgz,categorical-41245-both_sexes-1011.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41245-both_sexes-1011.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41245-both_sexes-1011.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41245-both_sexes-1011.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41245-both_sexes-1011.tsv.bgz.tbi,1245335349,1959106,23340c3b8c5fc58034622802330fff9f,56c2bc11db579c90bba05556c316ff49,CA__Summary_Administration_h0.13397_n2028,,1,CA_Administration_h0.13397
categorical,41250,both_sexes,1002,,Methods of discharge from hospital (recoded),"This field is a summary of the distinct method of discharge codes a participant has had recorded in their hospital inpatient records. Method of discharge from hospital identifies how a patient was discharged - i.e. whether this was on clinical advice, the patient died in hospital or the patient discharged themselves.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Discharged on clinical advice/consent: Transfer within provider,Health-related outcomes > Hospital inpatient > Summary Administration,7791,3603,4188,"CSA,EUR",2,,,52,,6840,,,,8778,,412083,,,,0.15844,,0.13494,,,,1.0347,,1.0739,,categorical-41250-both_sexes-1002.tsv.bgz,categorical-41250-both_sexes-1002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-1002.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-1002.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-1002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-1002.tsv.bgz.tbi,1123536171,1935975,f258942e8cb102b68bc7ba636d742470,b472df7c037c94e895734fd6143af5d4,CA__Summary_Administration_h0.13494_n7791,,1,CA_Administration_h0.13494
continuous,4104,both_sexes,,irnt,"Heel quantitative ultrasound index (QUI), direct entry (left)",The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,158224,85900,72324,"AFR,AMR,CSA,EAS,EUR,MID",6,3547,419,5431,1161,132170,683,,,,,,,0,0.23516,0.33302,0.60431,0.13831,0.090588,0.82878,0.98318,1.0205,1.0067,1.2668,1.033,continuous-4104-both_sexes-irnt.tsv.bgz,continuous-4104-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4104-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-4104-both_sexes-irnt.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4104-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-4104-both_sexes-irnt.tsv.bgz.tbi,1995738176,2166951,824cdc1e03ef314bd5eb0e783e1131bb,f19f1132fa1174253a6974d58e57673e,CA_Summary_Administration_h0.13494_n7791,,0,CO_Bone-densitometry_of_heel_left_h0.13831
categorical,41249,both_sexes,5001,,Methods of admission to hospital (recoded),"This field is a summary of the distinct method of admission codes a participant has had recorded in their hospital inpatient records. Method of admission to hospital identifies how a patient was admitted, e.g. an elective admission from a waiting list or an emergency admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMIMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer: Planned,Health-related outcomes > Hospital inpatient > Summary Administration,7232,3306,3926,"CSA,EUR",2,,,51,,6337,,,,8804,,413486,,,,0.15848,,0.13866,,,,1.0263,,1.0921,,categorical-41249-both_sexes-5001.tsv.bgz,categorical-41249-both_sexes-5001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-5001.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-5001.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-5001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-5001.tsv.bgz.tbi,1121544223,1935246,8266a4f6330b1f7896e0c0205ef6dce7,cb626426eb842f364e22a6322f36f6ab,CA__Summary_Administration_h0.13866_n7232,,1,CA_Administration_h0.13866
continuous,4123,both_sexes,,irnt,"Heel quantitative ultrasound index (QUI), direct entry (right)",The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,158228,85899,72329,"AFR,AMR,CSA,EAS,EUR,MID",6,3575,420,5430,1162,132131,685,,,,,,,0,0.18375,0.38972,0.48442,0.13979,0.13458,0.87308,1.0097,1.0312,0.99635,1.3181,1.0113,continuous-4123-both_sexes-irnt.tsv.bgz,continuous-4123-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4123-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-4123-both_sexes-irnt.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4123-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-4123-both_sexes-irnt.tsv.bgz.tbi,1996045316,2166525,2801f5b5b7b21c436bf71bffcdb166a2,a4adee0cc30653849391b577ebd0b06e,CO_Bone-densitometry_of_heel_irnt_h0.13979_n158228,,0,CO_Bone-densitometry_of_heel_right_h0.13979
phecode,245.21,both_sexes,,,Chronic lymphocytic thyroiditis,,,endocrine/metabolic,287,247,21,EUR,1,,,,,249,,,,,,399034,,,,,,0.14085,,,,,,0.99771,,phecode-245.21-both_sexes.tsv.bgz,phecode-245.21-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-245.21-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-245.21-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-245.21-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-245.21-both_sexes.tsv.bgz.tbi,520575427,1751011,0cc64b279b7fc23665f6c8b73e0140ca,892187dc7fb89a9886f167649c6a043a,PH_Chronic_lymphocytic_thyroiditis_h0.14085_n287,,0,PH_Chronic_lymphocytic_thyroiditis_h0.14085
categorical,41229,both_sexes,5QE,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",OXFORDSHIRE PCT,Health-related outcomes > Hospital inpatient > Summary Administration,10352,5976,4376,"CSA,EAS,EUR",3,,,77,62,9191,,,,8799,2647,411340,,,,0.11982,0.11929,0.14274,,,,1.0057,1.0382,1.1247,,categorical-41229-both_sexes-5QE.tsv.bgz,categorical-41229-both_sexes-5QE.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QE.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QE.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QE.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QE.tsv.bgz.tbi,1352353821,2007983,c6465d82783f88c82eada2389b64b112,f78b489d9163d3cc3fa2bbb5c6aa73ad,CA__Summary_Administration_h0.14274_n10352,,1,CA_Administration_h0.14274
categorical,41248,both_sexes,6005,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer within NHS provider: Medical specialty,Health-related outcomes > Hospital inpatient > Summary Administration,2119,901,1218,EUR,1,,,,,1823,,,,,,410432,,,,,,0.15077,,,,,,1.032,,categorical-41248-both_sexes-6005.tsv.bgz,categorical-41248-both_sexes-6005.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6005.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6005.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6005.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6005.tsv.bgz.tbi,540667348,1751648,01daeb6c5e4156b5ed479aeadd5f7094,138a6ca7f849645b2cf88c0699b5d251,CA__Summary_Administration_h0.15077_n2119,,1,CA_Administration_h0.15077
