;phenocode;X;Unnamed..0;Unnamed..0.1;trait_type;pheno_sex;coding;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10
81;290.2;968;968;5759;phecode;both_sexes;;;Delirium due to conditions classified elsewhere;;;mental disorders;1533;528;889;EUR;1;NA;NA;NA;NA;1362;NA;NA;NA;NA;NA;410833;NA;NA;NA;NA;NA;0.063275;NA;NA;NA;NA;NA;0.99487;NA;phecode-290.2-both_sexes.tsv.bgz;phecode-290.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-290.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-290.2-both_sexes.tsv.bgz.tbi;539830336;1751764;27c0ea55465ad3961637804874fb481c;dc0330c0ea2b596b15d90e1145f00821;PH_Delirium_due_to_conditions_classified_elsewhere_h0.06327_n1533;mental_disorders;;PH_Delirium_due_to_conditions_classified_elsewhere_h0.06327_n1533;F05
82;291;969;969;5760;phecode;both_sexes;;;Other specified nonpsychotic and/or transient mental disorders;;;mental disorders;1443;622;698;EUR;1;NA;NA;NA;NA;1226;NA;NA;NA;NA;NA;410833;NA;NA;NA;NA;NA;0.15698;NA;NA;NA;NA;NA;1.0337;NA;phecode-291-both_sexes.tsv.bgz;phecode-291-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-291-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-291-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-291-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-291-both_sexes.tsv.bgz.tbi;538683018;1751820;8eb208fc534bc3bc21f512894a731015;7826de9dc7e1353b946a58fb192224e6;PH_Other_specified_nonpsychotic_and_or_transient_mental_disorders_h0.15698_n1443;mental_disorders;;PH_Other_specified_nonpsychotic_and_or_transient_mental_disorders_h0.15698_n1443;F23
83;291.4;970;970;5762;phecode;both_sexes;;;Specific nonpsychotic mental disorders due to brain damage;;;mental disorders;517;211;256;EUR;1;NA;NA;NA;NA;444;NA;NA;NA;NA;NA;410833;NA;NA;NA;NA;NA;0.065503;NA;NA;NA;NA;NA;1.0071;NA;phecode-291.4-both_sexes.tsv.bgz;phecode-291.4-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-291.4-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-291.4-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-291.4-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-291.4-both_sexes.tsv.bgz.tbi;528637654;1751423;820e5c936952936825542dcbd1ce2214;c434445f3320d306bb7ec4340a86565e;PH_Specific_nonpsychotic_mental_disorders_due_to_brain_damage_h0.06550_n517;mental_disorders;;PH_Specific_nonpsychotic_mental_disorders_due_to_brain_damage_h0.06550_n517;F06
84;296;971;971;5776;phecode;both_sexes;;;Mood disorders;;;mental disorders;2124;1145;779;EUR;1;NA;NA;NA;NA;1825;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.14894;NA;NA;NA;NA;NA;1.0386;NA;phecode-296-both_sexes.tsv.bgz;phecode-296-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296-both_sexes.tsv.bgz.tbi;542120818;1751951;bd27a4b5f41286cb56a048236135d394;8d39935cd27fd964fa5cb2c0288275f7;PH_Mood_disorders_h0.14894_n2124;mental_disorders;;PH_Mood_disorders_h0.14894_n2124;F34
85;296.1;972;972;5777;phecode;both_sexes;;;Bipolar;;;mental disorders;1480;778;554;EUR;1;NA;NA;NA;NA;1257;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.23927;NA;NA;NA;NA;NA;1.0124;NA;phecode-296.1-both_sexes.tsv.bgz;phecode-296.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296.1-both_sexes.tsv.bgz.tbi;539127263;1751843;7ef3208b42e366f1a1699913a811c0c6;a4e1cd60cff40d9c14e4c3bf19df0cf6;PH_Bipolar_h0.23927_n1480;mental_disorders;;PH_Bipolar_h0.23927_n1480;F31
86;296.2;973;973;5778;phecode;both_sexes;;;Depression;;;mental disorders;596;350;198;EUR;1;NA;NA;NA;NA;527;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.23911;NA;NA;NA;NA;NA;1.0238;NA;phecode-296.2-both_sexes.tsv.bgz;phecode-296.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-296.2-both_sexes.tsv.bgz.tbi;530876147;1751534;9686ba42e012425dd750e4e079c4af02;ccd9aa6cd1e8c1f51bd543d77055ceed;PH_Depression_h0.23911_n596;mental_disorders;;PH_Depression_h0.23911_n596;F32
87;297;974;974;5780;phecode;both_sexes;;;Suicidal ideation or attempt;;;mental disorders;2260;1066;1004;EUR;1;NA;NA;NA;NA;1986;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.10331;NA;NA;NA;NA;NA;1.0421;NA;phecode-297-both_sexes.tsv.bgz;phecode-297-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-297-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-297-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-297-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-297-both_sexes.tsv.bgz.tbi;542512576;1752066;0e4117231cb06b5e2be813bc06a724f2;821dd1687b39e88abd177e0e5e5dd2ea;PH_Suicidal_ideation_or_attempt_h0.10331_n2260;mental_disorders;;PH_Suicidal_ideation_or_attempt_h0.10331_n2260;X60
88;297.2;975;975;5781;phecode;both_sexes;;;Suicide or self-inflicted injury;;;mental disorders;2149;1041;931;EUR;1;NA;NA;NA;NA;1897;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.10974;NA;NA;NA;NA;NA;1.0586;NA;phecode-297.2-both_sexes.tsv.bgz;phecode-297.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-297.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-297.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-297.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-297.2-both_sexes.tsv.bgz.tbi;542084272;1752128;f13ddb9262554e9600a9070266751acb;d0f29831a895dd0b0d861a3c639a85b3;PH_Suicide_or_self-inflicted_injury_h0.10974_n2149;mental_disorders;;PH_Suicide_or_self-inflicted_injury_h0.10974_n2149;X60
89;300.13;976;976;5786;phecode;both_sexes;;;Phobia;;;mental disorders;1047;669;292;EUR;1;NA;NA;NA;NA;896;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.24331;NA;NA;NA;NA;NA;0.99024;NA;phecode-300.13-both_sexes.tsv.bgz;phecode-300.13-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.13-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.13-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.13-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.13-both_sexes.tsv.bgz.tbi;536179889;1751435;ee75f6049260d351528a747966304bb7;4f45d685ba95f8f78d792ba6a05643d3;PH_Phobia_h0.24331_n1047;mental_disorders;;PH_Phobia_h0.24331_n1047;F40
90;300.8;977;977;5788;phecode;both_sexes;;;Acute reaction to stress;;;mental disorders;183;90;73;EUR;1;NA;NA;NA;NA;153;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.070008;NA;NA;NA;NA;NA;0.96837;NA;phecode-300.8-both_sexes.tsv.bgz;phecode-300.8-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.8-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.8-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.8-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.8-both_sexes.tsv.bgz.tbi;512967139;1750731;dc785a43c47597eac50ddecb9a6bb1ce;f338fd06560c76ca76a7db21c5c31e87;PH_Acute_reaction_to_stress_h0.07001_n183;mental_disorders;;PH_Acute_reaction_to_stress_h0.07001_n183;F43
91;306.9;978;978;5800;phecode;both_sexes;;;Tension headache;;;mental disorders;442;267;135;EUR;1;NA;NA;NA;NA;365;NA;NA;NA;NA;NA;369930;NA;NA;NA;NA;NA;0.23236;NA;NA;NA;NA;NA;1.003;NA;phecode-306.9-both_sexes.tsv.bgz;phecode-306.9-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-306.9-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-306.9-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-306.9-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-306.9-both_sexes.tsv.bgz.tbi;526339455;1751089;e4c81b07ad2d4a73dbab55a4fa74f508;a7bfabb307985625655b34d39326c1d9;PH_Tension_headache_h0.23236_n442;mental_disorders;;PH_Tension_headache_h0.23236_n442;G44
92;315;979;979;5802;phecode;both_sexes;;;Develomental delays and disorders;;;mental disorders;660;231;370;EUR;1;NA;NA;NA;NA;567;NA;NA;NA;NA;NA;419655;NA;NA;NA;NA;NA;0.13604;NA;NA;NA;NA;NA;1.0043;NA;phecode-315-both_sexes.tsv.bgz;phecode-315-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-315-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-315-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-315-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-315-both_sexes.tsv.bgz.tbi;531812029;1751736;d3c3c57087d99b69eb06b93c45f60043;31aa1b77943ebab30c84305f8a1dc99f;PH_Develomental_delays_and_disorders_h0.13604_n660;mental_disorders;;PH_Develomental_delays_and_disorders_h0.13604_n660;F82
93;317.11;980;980;5808;phecode;both_sexes;;;Alcoholic liver damage;;;mental disorders;1221;225;875;EUR;1;NA;NA;NA;NA;1053;NA;NA;NA;NA;NA;392046;NA;NA;NA;NA;NA;0.10185;NA;NA;NA;NA;NA;1.0184;NA;phecode-317.11-both_sexes.tsv.bgz;phecode-317.11-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-317.11-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-317.11-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-317.11-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-317.11-both_sexes.tsv.bgz.tbi;537562753;1752044;9179c07b07000a5e89170fea739281a6;8b39c3f799c768d300279313c2137cdf;PH_Alcoholic_liver_damage_h0.10185_n1221;mental_disorders;;PH_Alcoholic_liver_damage_h0.10185_n1221;K70
94;323;981;981;5811;phecode;both_sexes;;;Encephalitis;;;neurological;496;223;230;EUR;1;NA;NA;NA;NA;436;NA;NA;NA;NA;NA;419234;NA;NA;NA;NA;NA;0.10911;NA;NA;NA;NA;NA;0.97736;NA;phecode-323-both_sexes.tsv.bgz;phecode-323-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-323-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-323-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-323-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-323-both_sexes.tsv.bgz.tbi;528240126;1751328;3530bb07f29c821e46877b53cb099874;6cbf2b52371334f3347651cb44709b74;PH_Encephalitis_h0.10911_n496;neurological;;PH_Encephalitis_h0.10911_n496;G04
95;331;982;982;5817;phecode;both_sexes;;;Other cerebral degenerations;;;neurological;1824;731;950;EUR;1;NA;NA;NA;NA;1613;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.085189;NA;NA;NA;NA;NA;1.0423;NA;phecode-331-both_sexes.tsv.bgz;phecode-331-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331-both_sexes.tsv.bgz.tbi;541353078;1752259;c04f8034aad0f9d72c8e1f216358b761;fc0ad0f3d4ae7a3b91e1bb5f27e4ae56;PH_Other_cerebral_degenerations_h0.08519_n1824;neurological;;PH_Other_cerebral_degenerations_h0.08519_n1824;G31
96;331.1;983;983;5818;phecode;both_sexes;;;Hydrocephalus;;;neurological;736;365;310;EUR;1;NA;NA;NA;NA;646;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.22428;NA;NA;NA;NA;NA;0.99532;NA;phecode-331.1-both_sexes.tsv.bgz;phecode-331.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331.1-both_sexes.tsv.bgz.tbi;533434657;1751486;8be07b469e7c38839695edf89f158449;2a5df0fe992d43d1bb42734fb14ad4db;PH_Hydrocephalus_h0.22428_n736;neurological;;PH_Hydrocephalus_h0.22428_n736;G91
97;331.9;984;984;5819;phecode;both_sexes;;;Cerebral degeneration, unspecified;;;neurological;717;237;432;EUR;1;NA;NA;NA;NA;639;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.0586;NA;NA;NA;NA;NA;0.99497;NA;phecode-331.9-both_sexes.tsv.bgz;phecode-331.9-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331.9-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331.9-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-331.9-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-331.9-both_sexes.tsv.bgz.tbi;532946915;1751788;de7bcf52f617ed4116478f20dc43a876;d5b410756e8d754de59e0ad4d07a152c;PH_Cerebral_degeneration,_unspecified_h0.05860_n717;neurological;;PH_Cerebral_degeneration,_unspecified_h0.05860_n717;G31
98;332;985;985;5820;phecode;both_sexes;;;Parkinson's disease;;;neurological;1848;657;1054;EUR;1;NA;NA;NA;NA;1660;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.13103;NA;NA;NA;NA;NA;1.0182;NA;phecode-332-both_sexes.tsv.bgz;phecode-332-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-332-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-332-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-332-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-332-both_sexes.tsv.bgz.tbi;541132436;1752186;2fd0e7cfdcffe3d74b04d80e005b8ed8;6a18e56f2d4277252efeea508a01c383;PH_Parkinson's_disease_h0.13103_n1848;neurological;;PH_Parkinson's_disease_h0.13103_n1848;G20
99;333;986;986;5821;phecode;both_sexes;;;Extrapyramidal disease and abnormal movement disorders;;;neurological;1492;751;623;EUR;1;NA;NA;NA;NA;1314;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.069227;NA;NA;NA;NA;NA;1.0162;NA;phecode-333-both_sexes.tsv.bgz;phecode-333-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-333-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-333-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-333-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-333-both_sexes.tsv.bgz.tbi;539355852;1752112;684931fb1e088a774c96dbfb0b5365ca;b45c2346bf3b922dee4d2baa8ffde082;PH_Extrapyramidal_disease_and_abnormal_movement_disorders_h0.06923_n1492;neurological;;PH_Extrapyramidal_disease_and_abnormal_movement_disorders_h0.06923_n1492;G25
100;333.4;987;987;5824;phecode;both_sexes;;;Torsion dystonia;;;neurological;383;226;131;EUR;1;NA;NA;NA;NA;337;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.090555;NA;NA;NA;NA;NA;0.9772;NA;phecode-333.4-both_sexes.tsv.bgz;phecode-333.4-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-333.4-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-333.4-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-333.4-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-333.4-both_sexes.tsv.bgz.tbi;525244203;1750901;b9103258fa91b2045983170dfeabfbc8;f283ffdd54e4b82c2d963ef7d4360e58;PH_Torsion_dystonia_h0.09055_n383;neurological;;PH_Torsion_dystonia_h0.09055_n383;G24
101;334.2;988;988;5827;phecode;both_sexes;;;Anterior horn cell disease;;;neurological;387;154;207;EUR;1;NA;NA;NA;NA;351;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.080696;NA;NA;NA;NA;NA;1.0144;NA;phecode-334.2-both_sexes.tsv.bgz;phecode-334.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-334.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-334.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-334.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-334.2-both_sexes.tsv.bgz.tbi;525556718;1751288;38839b0462f6814028f4206ce1aa78b3;d3dcb28643193fcfb45c484103a0aea1;PH_Anterior_horn_cell_disease_h0.08070_n387;neurological;;PH_Anterior_horn_cell_disease_h0.08070_n387;G12
102;335;989;989;5828;phecode;both_sexes;;;Multiple sclerosis;;;neurological;1695;1145;431;EUR;1;NA;NA;NA;NA;1538;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.14763;NA;NA;NA;NA;NA;1.0527;NA;phecode-335-both_sexes.tsv.bgz;phecode-335-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-335-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-335-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-335-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-335-both_sexes.tsv.bgz.tbi;540882138;1751872;e71af5e057d8e94847ee6776d7420d1d;eda5dcf95c063791feead30c66b5cbbc;PH_Multiple_sclerosis_h0.14763_n1695;neurological;;PH_Multiple_sclerosis_h0.14763_n1695;G35
103;337;990;990;5829;phecode;both_sexes;;;Disorders of the autonomic nervous system;;;neurological;372;154;196;EUR;1;NA;NA;NA;NA;343;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.053959;NA;NA;NA;NA;NA;1.0162;NA;phecode-337-both_sexes.tsv.bgz;phecode-337-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-337-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-337-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-337-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-337-both_sexes.tsv.bgz.tbi;525197503;1751380;16c316b65a4bd945ee0b527aafaa05b0;82d8040251577cf636efa0a8db41332d;PH_Disorders_of_the_autonomic_nervous_system_h0.05396_n372;neurological;;PH_Disorders_of_the_autonomic_nervous_system_h0.05396_n372;G90
104;338.2;991;991;5832;phecode;both_sexes;;;Chronic pain;;;neurological;571;315;194;EUR;1;NA;NA;NA;NA;474;NA;NA;NA;NA;NA;419595;NA;NA;NA;NA;NA;0.14209;NA;NA;NA;NA;NA;1.0014;NA;phecode-338.2-both_sexes.tsv.bgz;phecode-338.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-338.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-338.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-338.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-338.2-both_sexes.tsv.bgz.tbi;529377810;1751477;29ae894d0af673f58e158a3c99fd2a3f;5ae90d5ea743253f89f14422885ab94f;PH_Chronic_pain_h0.14209_n571;neurological;;PH_Chronic_pain_h0.14209_n571;R52
105;343;992;992;5838;phecode;both_sexes;;;Infantile cerebral palsy;;;neurological;195;77;98;EUR;1;NA;NA;NA;NA;168;NA;NA;NA;NA;NA;403249;NA;NA;NA;NA;NA;0.066953;NA;NA;NA;NA;NA;0.99697;NA;phecode-343-both_sexes.tsv.bgz;phecode-343-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-343-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-343-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-343-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-343-both_sexes.tsv.bgz.tbi;513670085;1750289;61d7e3c7d599a2302288ead649db7172;7a7c15efb63131abb600481209a3c26c;PH_Infantile_cerebral_palsy_h0.06695_n195;neurological;;PH_Infantile_cerebral_palsy_h0.06695_n195;G80
