;coding;X;Unnamed..0;Unnamed..0.1;trait_type;phenocode;pheno_sex;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10;AB_PRESUMED.DIAGNOSIS
21;1140867888;105;105;582;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;paroxetine;UK Biobank Assessment Centre > Verbal interview > Medications;1580;1000;580;EUR;1;NA;NA;NA;NA;1419;NA;NA;NA;NA;NA;419054;NA;NA;NA;NA;NA;0.11314;NA;NA;NA;NA;NA;1.0261;NA;categorical-20003-both_sexes-1140867888.tsv.bgz;categorical-20003-both_sexes-1140867888.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867888.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867888.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867888.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867888.tsv.bgz.tbi;540460264;1752114;491102c68587d275c8a5f15b7253be77;1d151226f578d5c7ff3aa04ffd8f5760;CA_Medications_h0.11314_n1580;Medications;paroxetine;CA_PRS_paroxetine_h0.11314_n1580;F32_F31;Depression/Mood disorder
22;1140868364;106;106;590;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;prednisone;UK Biobank Assessment Centre > Verbal interview > Medications;299;175;124;EUR;1;NA;NA;NA;NA;257;NA;NA;NA;NA;NA;420216;NA;NA;NA;NA;NA;0.13553;NA;NA;NA;NA;NA;0.99084;NA;categorical-20003-both_sexes-1140868364.tsv.bgz;categorical-20003-both_sexes-1140868364.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140868364.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140868364.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140868364.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140868364.tsv.bgz.tbi;521277740;1751018;c575db514ef6b7f5b94fb5a493fe640a;d2cb57dd6c59ae560d085a3e0bbab990;CA_Medications_h0.13553_n299;Medications;prednisone;CA_PRS_prednisone_h0.13553_n299;J45_J44_K50_R52;Asthma/COPD/IBD/RA
23;1140869930;107;107;595;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;azathioprine;UK Biobank Assessment Centre > Verbal interview > Medications;1015;523;492;EUR;1;NA;NA;NA;NA;859;NA;NA;NA;NA;NA;419614;NA;NA;NA;NA;NA;0.14115;NA;NA;NA;NA;NA;1.0361;NA;categorical-20003-both_sexes-1140869930.tsv.bgz;categorical-20003-both_sexes-1140869930.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140869930.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140869930.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140869930.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140869930.tsv.bgz.tbi;536130136;1751688;50e5bf9f002493d306db52b05a356bc1;7b4473769eb2fa41604fc3386c1e04ec;CA_Medications_h0.14115_n1015;Medications;azathioprine;CA_PRS_azathioprine_h0.14115_n1015;M06_K50_G70;IBD/RA/MG
24;1140870956;108;108;605;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;alfacalcidol;UK Biobank Assessment Centre > Verbal interview > Medications;443;257;186;EUR;1;NA;NA;NA;NA;356;NA;NA;NA;NA;NA;420117;NA;NA;NA;NA;NA;0.1123;NA;NA;NA;NA;NA;0.98904;NA;categorical-20003-both_sexes-1140870956.tsv.bgz;categorical-20003-both_sexes-1140870956.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140870956.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140870956.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140870956.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140870956.tsv.bgz.tbi;526057228;1751074;d321c5cfab301bada1669e9c105b4871;b447ab0040d3ec5e22881b86b8fb67c7;CA_Medications_h0.11230_n443;Medications;alfacalcidol;CA_PRS_alfacalcidol_h0.11230_n443;E53;Vit D Def
25;1140871168;109;109;610;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;voltarol 25mg e/c tablet;UK Biobank Assessment Centre > Verbal interview > Medications;531;321;210;EUR;1;NA;NA;NA;NA;467;NA;NA;NA;NA;NA;420006;NA;NA;NA;NA;NA;0.13858;NA;NA;NA;NA;NA;0.98189;NA;categorical-20003-both_sexes-1140871168.tsv.bgz;categorical-20003-both_sexes-1140871168.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871168.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871168.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871168.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871168.tsv.bgz.tbi;529259333;1751256;3d72abbdbd8cfb1092ad72aa5bf3acd9;2f1f77f76af6bea9233219882aada1e4;CA_Medications_h0.13858_n531;Medications;voltarol 25mg e/c tablet;CA_PRS_voltarol_25mg_e_c_tablet_h0.13858_n531;J45;Asthma
26;1140871266;110;110;613;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;arthrotec tablet;UK Biobank Assessment Centre > Verbal interview > Medications;688;401;287;EUR;1;NA;NA;NA;NA;593;NA;NA;NA;NA;NA;419880;NA;NA;NA;NA;NA;0.18154;NA;NA;NA;NA;NA;1.0075;NA;categorical-20003-both_sexes-1140871266.tsv.bgz;categorical-20003-both_sexes-1140871266.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871266.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871266.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871266.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871266.tsv.bgz.tbi;532382768;1751747;ca4e26f148c0aba5f996134eec3c0d7d;bea6bcdc7544e67d1c88278d21f5c8e8;CA_Medications_h0.18154_n688;Medications;arthrotec tablet;CA_PRS_arthrotec_tablet_h0.18154_n688;M19;Arthritis (OA/RA)
27;1140871688;111;111;622;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;solpadol caplet;UK Biobank Assessment Centre > Verbal interview > Medications;366;231;135;EUR;1;NA;NA;NA;NA;330;NA;NA;NA;NA;NA;420143;NA;NA;NA;NA;NA;0.22983;NA;NA;NA;NA;NA;1.0126;NA;categorical-20003-both_sexes-1140871688.tsv.bgz;categorical-20003-both_sexes-1140871688.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871688.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871688.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871688.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871688.tsv.bgz.tbi;525096558;1750991;d9edff5ef66710d790b729716c9f7beb;3fd720abf03c883700dfb1add9d65955;CA_Medications_h0.22983_n366;Medications;solpadol caplet;CA_PRS_solpadol_caplet_h0.22983_n366;M19_R52;Arthritis (OA/RA)
28;1140872112;112;112;629;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;epanutin 25mg capsule;UK Biobank Assessment Centre > Verbal interview > Medications;329;144;185;EUR;1;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;420173;NA;NA;NA;NA;NA;0.23147;NA;NA;NA;NA;NA;0.98802;NA;categorical-20003-both_sexes-1140872112.tsv.bgz;categorical-20003-both_sexes-1140872112.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872112.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872112.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872112.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872112.tsv.bgz.tbi;523351745;1751274;719806c83e789881aac34f30f5673545;e5e74f434c425674fae042f5f8b3a42b;CA_Medications_h0.23147_n329;Medications;epanutin 25mg capsule;CA_PRS_epanutin_25mg_capsule_h0.23147_n329;G40;Epilepsy
29;1140872228;113;113;633;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;gabapentin;UK Biobank Assessment Centre > Verbal interview > Medications;2219;1302;917;EUR;1;NA;NA;NA;NA;1955;NA;NA;NA;NA;NA;418518;NA;NA;NA;NA;NA;0.1269;NA;NA;NA;NA;NA;1.0399;NA;categorical-20003-both_sexes-1140872228.tsv.bgz;categorical-20003-both_sexes-1140872228.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872228.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872228.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872228.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872228.tsv.bgz.tbi;541897341;1752163;d6595585bacbad988586701eb7b14474;ca0779ce96142f51325dce1df006898a;CA_Medications_h0.12690_n2219;Medications;gabapentin;CA_PRS_gabapentin_h0.12690_n2219;G40_G62;Seizure/Neuropathic pain
30;1140873548;114;114;643;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;oxytetracycline;UK Biobank Assessment Centre > Verbal interview > Medications;1368;701;667;EUR;1;NA;NA;NA;NA;1243;NA;NA;NA;NA;NA;419230;NA;NA;NA;NA;NA;0.15221;NA;NA;NA;NA;NA;1.001;NA;categorical-20003-both_sexes-1140873548.tsv.bgz;categorical-20003-both_sexes-1140873548.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140873548.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140873548.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140873548.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140873548.tsv.bgz.tbi;539196804;1751930;13015767c897b556630e1e5a82af48ce;eb9cd633b9df46572d24728142166689;CA_Medications_h0.15221_n1368;Medications;oxytetracycline;CA_PRS_oxytetracycline_h0.15221_n1368;L70;Acne
31;1140874686;115;115;652;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;glucophage 500mg tablet;UK Biobank Assessment Centre > Verbal interview > Medications;467;227;240;EUR;1;NA;NA;NA;NA;359;NA;NA;NA;NA;NA;420114;NA;NA;NA;NA;NA;0.053897;NA;NA;NA;NA;NA;1.0123;NA;categorical-20003-both_sexes-1140874686.tsv.bgz;categorical-20003-both_sexes-1140874686.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874686.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874686.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874686.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874686.tsv.bgz.tbi;526092556;1751220;1821e7ddbaf088f5c143687d133f39eb;e601abf645d255fb9da5495eb32d08fc;CA_Medications_h0.05390_n467;Medications;glucophage 500mg tablet;CA_PRS_glucophage_500mg_tablet_h0.05390_n467;E11;T2DM
32;1140874790;116;116;654;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;betamethasone;UK Biobank Assessment Centre > Verbal interview > Medications;734;317;417;EUR;1;NA;NA;NA;NA;652;NA;NA;NA;NA;NA;419821;NA;NA;NA;NA;NA;0.14008;NA;NA;NA;NA;NA;1.0049;NA;categorical-20003-both_sexes-1140874790.tsv.bgz;categorical-20003-both_sexes-1140874790.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874790.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874790.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874790.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874790.tsv.bgz.tbi;533166231;1751684;822a9e01d6d09516d80d9186ba527bbb;2092e82cb0a71564d99b625f89bf9827;CA_Medications_h0.14008_n734;Medications;betamethasone;CA_PRS_betamethasone_h0.14008_n734;L30;Dermatitis NOS
33;1140874852;117;117;656;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;thyroxine sodium;UK Biobank Assessment Centre > Verbal interview > Medications;1323;1120;203;EUR;1;NA;NA;NA;NA;1152;NA;NA;NA;NA;NA;419321;NA;NA;NA;NA;NA;0.17527;NA;NA;NA;NA;NA;1.0285;NA;categorical-20003-both_sexes-1140874852.tsv.bgz;categorical-20003-both_sexes-1140874852.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi;538732229;1751834;256797a572d3a6665728942ffd60c278;883e0e83b4ef8a916a3b257f3c206cb4;CA_Medications_h0.17527_n1323;Medications;thyroxine sodium;CA_PRS_thyroxine_sodium_h0.17527_n1323;E03;Hypothyroidism
34;1140874896;118;118;658;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;hydrocortisone;UK Biobank Assessment Centre > Verbal interview > Medications;861;465;396;EUR;1;NA;NA;NA;NA;760;NA;NA;NA;NA;NA;419713;NA;NA;NA;NA;NA;0.078275;NA;NA;NA;NA;NA;1.0128;NA;categorical-20003-both_sexes-1140874896.tsv.bgz;categorical-20003-both_sexes-1140874896.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874896.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874896.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874896.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874896.tsv.bgz.tbi;534669918;1751602;d9b5aaf3483f2708b230ad75b8a471d0;301a810fc61d13b95728f8e48b9cb7f5;CA_Medications_h0.07827_n861;Medications;hydrocortisone;CA_PRS_hydrocortisone_h0.07827_n861;E27_L20;Adrenal insufficiency/Atopic eczema
35;1140876136;119;119;669;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;beconase 50micrograms nasal spray;UK Biobank Assessment Centre > Verbal interview > Medications;3136;1704;1432;EUR;1;NA;NA;NA;NA;2785;NA;NA;NA;NA;NA;417688;NA;NA;NA;NA;NA;0.076121;NA;NA;NA;NA;NA;1.0369;NA;categorical-20003-both_sexes-1140876136.tsv.bgz;categorical-20003-both_sexes-1140876136.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140876136.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140876136.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140876136.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140876136.tsv.bgz.tbi;544562591;1751991;689e983f1bfa8ead6fab3d79036fd577;797e61260c2858e3e26b39eeded86d94;CA_Medications_h0.07612_n3136;Medications;beconase 50micrograms nasal spray;CA_PRS_beconase_50micrograms_nasal_spray_h0.07612_n3136;J31_J45;Allergic Rhinitis/Hypersensitivity/Asthma associated
36;1140878036;120;120;676;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;diclofenac sodium+misoprostol;UK Biobank Assessment Centre > Verbal interview > Medications;330;182;148;EUR;1;NA;NA;NA;NA;283;NA;NA;NA;NA;NA;420190;NA;NA;NA;NA;NA;0.062014;NA;NA;NA;NA;NA;1.0127;NA;categorical-20003-both_sexes-1140878036.tsv.bgz;categorical-20003-both_sexes-1140878036.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878036.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878036.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878036.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878036.tsv.bgz.tbi;522897215;1750865;5bc3c17e061227c595ffac83409c0ca8;5b6d1b42fcdfebc7dbaeee589f20de0c;CA_Medications_h0.06201_n330;Medications;diclofenac sodium+misoprostol;CA_PRS_diclofenac_sodium+misoprostol_h0.06201_n330;M19_R52;Arthritis (OA/RA)
37;1140878304;121;121;680;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;e45 cream;UK Biobank Assessment Centre > Verbal interview > Medications;362;164;198;EUR;1;NA;NA;NA;NA;283;NA;NA;NA;NA;NA;420190;NA;NA;NA;NA;NA;0.065871;NA;NA;NA;NA;NA;0.98744;NA;categorical-20003-both_sexes-1140878304.tsv.bgz;categorical-20003-both_sexes-1140878304.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878304.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878304.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878304.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878304.tsv.bgz.tbi;522703012;1750811;62741e998fa199b63f4673687805530b;2fd1541d9bc0062041824d5c9c44af98;CA_Medications_h0.06587_n362;Medications;e45 cream;CA_PRS_e45_cream_h0.06587_n362;L20;Atopic eczema
38;1140879430;122;122;689;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;domperidone;UK Biobank Assessment Centre > Verbal interview > Medications;960;676;284;EUR;1;NA;NA;NA;NA;851;NA;NA;NA;NA;NA;419622;NA;NA;NA;NA;NA;0.056989;NA;NA;NA;NA;NA;0.98855;NA;categorical-20003-both_sexes-1140879430.tsv.bgz;categorical-20003-both_sexes-1140879430.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879430.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879430.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879430.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879430.tsv.bgz.tbi;535659021;1751823;87bc2b0fd804a677b34fce1289addb5b;ba1080a94146c84e27ec510c46d1bbac;CA_Medications_h0.05699_n960;Medications;domperidone;CA_PRS_domperidone_h0.05699_n960;R11;Nausea and vomiting
39;1140879464;123;123;690;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;loperamide;UK Biobank Assessment Centre > Verbal interview > Medications;1527;869;658;EUR;1;NA;NA;NA;NA;1397;NA;NA;NA;NA;NA;419076;NA;NA;NA;NA;NA;0.070224;NA;NA;NA;NA;NA;1.0063;NA;categorical-20003-both_sexes-1140879464.tsv.bgz;categorical-20003-both_sexes-1140879464.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879464.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879464.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879464.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879464.tsv.bgz.tbi;540098796;1751984;97505b9e3fe6211ad37f8f7b04520ef9;7df05a3c5476938b33e34aa19b521a8f;CA_Medications_h0.07022_n1527;Medications;loperamide;CA_PRS_loperamide_h0.07022_n1527;K52_K58_K50;Diarrhoea/IBS/IBD
40;1140879540;124;124;692;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;fluoxetine;UK Biobank Assessment Centre > Verbal interview > Medications;5499;3920;1579;EUR;1;NA;NA;NA;NA;4902;NA;NA;NA;NA;NA;415571;NA;NA;NA;NA;NA;0.054404;NA;NA;NA;NA;NA;1.0328;NA;categorical-20003-both_sexes-1140879540.tsv.bgz;categorical-20003-both_sexes-1140879540.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879540.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879540.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879540.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879540.tsv.bgz.tbi;543643492;1752263;965ab861be001e78117718c2b53a5177;83a973e083ecf9d1d64826275c59e1e6;CA_Medications_h0.05440_n5499;Medications;fluoxetine;CA_PRS_fluoxetine_h0.05440_n5499;F32_F31;Depression / Mood Disorder
41;1140879792;125;125;704;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;terbutaline;UK Biobank Assessment Centre > Verbal interview > Medications;700;457;243;EUR;1;NA;NA;NA;NA;623;NA;NA;NA;NA;NA;419850;NA;NA;NA;NA;NA;0.19121;NA;NA;NA;NA;NA;0.98367;NA;categorical-20003-both_sexes-1140879792.tsv.bgz;categorical-20003-both_sexes-1140879792.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879792.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879792.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879792.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879792.tsv.bgz.tbi;532625711;1751491;48cc68ae88fc860e8f807df0b553543e;54a336ae841a2be3485165816725db7c;CA_Medications_h0.19121_n700;Medications;terbutaline;CA_PRS_terbutaline_h0.19121_n700;J45;Asthma
